Country Name,Country Code,gdppc21
Afghanistan,AFG,368.7546142
Albania,ALB,6492.872012
Algeria,DZA,3690.627878
American Samoa,ASM,15743.31076
Andorra,AND,42137.32727
Angola,AGO,1953.533757
Antigua and Barbuda,ATG,15781.3957
Argentina,ARG,10636.1202
Armenia,ARM,4966.513471
Aruba,ABW,29342.10086
Australia,AUS,60443.10916
Austria,AUT,53637.70571
Azerbaijan,AZE,5387.997975
"Bahamas, The",BHS,27478.38963
Bahrain,BHR,26562.96914
Bangladesh,BGD,2457.92488
Barbados,BRB,17225.4623
Belarus,BLR,7302.257794
Belgium,BEL,51247.01435
Belize,BLZ,6228.267309
Benin,BEN,1319.154995
Bermuda,BMU,114090.3283
Bhutan,BTN,3266.364905
Bolivia,BOL,3345.196589
Bosnia and Herzegovina,BIH,7143.310548
Botswana,BWA,6805.221274
Brazil,BRA,7507.160971
British Virgin Islands,VGB,..
Brunei Darussalam,BRN,31449.07656
Bulgaria,BGR,12221.49661
Burkina Faso,BFA,893.0771558
Burundi,BDI,221.4776762
Cabo Verde,CPV,3293.233054
Cambodia,KHM,1625.23502
Cameroon,CMR,1666.932734
Canada,CAN,51987.93905
Cayman Islands,CYM,86568.76964
Central African Republic,CAF,461.1374902
Chad,TCD,685.6902841
Channel Islands,CHI,..
Chile,CHL,16265.09598
China,CHN,12556.33312
Colombia,COL,6104.136709
Comoros,COM,1577.471027
"Congo, Dem. Rep.",COD,577.2092152
"Congo, Rep.",COG,2290.382891
Costa Rica,CRI,12472.44373
Cote d'Ivoire,CIV,2549.041297
Croatia,HRV,17685.32528
Cuba,CUB,..
Curacao,CUW,17717.59648
Cyprus,CYP,31551.81641
Czechia,CZE,26821.24523
Denmark,DNK,68007.75667
Djibouti,DJI,3150.436729
Dominica,DMA,7653.17187
Dominican Republic,DOM,8476.752157
Ecuador,ECU,5965.132871
"Egypt, Arab Rep.",EGY,3698.834981
El Salvador,SLV,4551.184661
Equatorial Guinea,GNQ,7506.667523
Eritrea,ERI,..
Estonia,EST,27943.70122
Eswatini,SWZ,3978.403528
Ethiopia,ETH,925.077428
Faroe Islands,FRO,69010.3098
Fiji,FJI,4646.612723
Finland,FIN,53654.7503
France,FRA,43658.97898
French Polynesia,PYF,19914.60351
Gabon,GAB,8635.325694
"Gambia, The",GMB,772.1523951
Georgia,GEO,5023.27438
Germany,DEU,51203.55447
Ghana,GHA,2363.299296
Gibraltar,GIB,..
Greece,GRC,20192.5963
Greenland,GRL,..
Grenada,GRD,9010.572245
Guam,GUM,35904.86355
Guatemala,GTM,5025.542291
Guinea,GIN,1189.175999
Guinea-Bissau,GNB,795.1185693
Guyana,GUY,9998.544311
Haiti,HTI,1829.593044
Honduras,HND,2771.717461
"Hong Kong SAR, China",HKG,49800.54241
Hungary,HUN,18728.12189
Iceland,ISL,68727.63666
India,IND,2256.590409
Indonesia,IDN,4332.709281
"Iran, Islamic Rep.",IRN,4091.209187
Iraq,IRQ,4775.377454
Ireland,IRL,100172.0793
Isle of Man,IMN,..
Israel,ISR,52170.71186
Italy,ITA,35657.49756
Jamaica,JAM,5183.581305
Japan,JPN,39312.66037
Jordan,JOR,4103.258966
Kazakhstan,KAZ,10373.78979
Kenya,KEN,2081.799855
Kiribati,KIR,1606.462514
"Korea, Dem. People's Rep.",PRK,..
"Korea, Rep.",KOR,34997.78164
Kosovo,XKX,5269.783901
Kuwait,KWT,..
Kyrgyz Republic,KGZ,1276.700365
Lao PDR,LAO,2535.623432
